TIỀN CƠM CÁN BỘ CÔNG NHÂN VIÊN THÁNG 02-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Từ ngày 26/01/2026 đến ngày 25/02/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manual Grading Thời vụ -Shift 1 (Ms Huệ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Manual Grading -Shift 2 (Ms Huệ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Manual Grading Thời vụ -Shift 2 (Ms Huệ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Manual Grading -Shift 3 (Ms Huệ),,,,,,,,42,43,42,42,41,40,,,,,,,,,,,,,,,,,,,250
Manual Grading Thời vụ -Shift 3 (Ms Huệ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
OT,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,3
Manual peeling S1 - Liên,,,,,,,,65,65,65,65,60,58,,66,66,50,,,,,,,,,,,,,,,560
Manual peeling S1 thời vụ - Liên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Manual peeling S1 - Dung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Manual peeling S1 thời vụ - Dung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Manual peeling S2 - Liên,63,65,65,65,65,65,,,,,,,,,,,,,,,,,,,,,,,,,,388
Manual peeling S2 thời vụ - Liên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Manual peeling S2 - Dung,,,,,,,,65,68,64,67,65,60,,62,65,29,,,,,,,,,,,,,,,545
Manual peeling S2 thời vụ - Dung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Manual peeling S3 - Liên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Manual peeling S3 thời vụ - Liên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Manual peeling S3 - Dung,68,69,70,68,67,66,,,,,,,,,,,,,,,,,,,,,,,,,,408
Manual peeling S3 thời vụ - Dung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Packing S1,13,13,13,13,13,13,,13,13,13,13,13,13,,13,13,13,,,,,,,,,,,,,,,195
Packing thời vụ S1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Packing S2,13,13,13,13,13,13,,13,13,13,13,,,,11,13,13,,,,,,,,,,,,,,,167
Packing thời vụ S2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Packing S3,,,,,,,,,,,,15,15,,,,,,,,,,,,,,,,,,,30
Packing OT,,,,,,,,,,,,17,13,,,,,,,,,,,,,,,,,,,30
Boiler worker S1,1,1,1,1,1,1,,1,1,1,1,1,1,,3,3,,,,,,,,,,,,,1,1,1,21
Boiler worker S2,1,1,1,1,1,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,,1,1,1,15
Boiler worker S3,,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,,,1,1,1,12
Boiler OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Maintenance S1,11,12,12,12,12,11,,11,11,12,12,12,10,,12,12,10,,,,,,,,,,,,1,1,1,175
Maintenance S2,1,2,2,2,2,2,,2,2,2,1,1,1,,2,2,2,,,,,,,,,,,,,,,26
Maintenance S3,2,2,2,2,2,2,,2,2,2,2,2,2,,,,,,,,,,,,,,,,1,1,1,27
Maintenance OT,1,,2,4,,,,,2,,1,1,2,,1,2,,,,,,,,,,,,,2,2,2,22
Cleaning worker,8,8,8,8,8,8,,7,7,7,8,8,6,,8,8,6,,,,,,,,,,,,,1,6,120
Cleaning worker S2,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,2,,,,,,,,,,,,,,1,17
Cleaning worker S3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
OT,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
QC,13,13,13,13,13,13,,13,13,13,13,13,13,,16,16,12,,,,,,,,,,,,,2,4,206
QC S2,8,8,8,8,8,8,,8,8,8,8,4,4,,10,10,10,,,,,,,,,,,,,1,2,121
QC S3,4,4,4,4,4,4,,4,4,4,4,8,8,,,,,,,,,,,,,,,,,2,4,62
QC OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,6
Office 1,26,23,18,17,20,9,,21,22,19,22,20,10,,22,21,19,,,,,,,,,,,,,,,289
Office 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Office 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Total,444,447,449,448,439,425,5,444,450,434,434,479,439,0,427,426,314,0,0,0,0,0,0,0,0,0,0,0,28,100,133,6765
