TIỀN CƠM CÁN BỘ CÔNG NHÂN VIÊN THÁNG 03-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Từ ngày 26/02/2026 đến ngày 25/03/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borma S3,5,4,5,,5,4,5,5,5,4,,4,4,5,5,5,4,,5,5,,,,,,,,,79
Borma thời vụ S3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
OT,,,,,4,,2,,,,,3,1,2,2,1,4,,3,3,2,,,,,,,,27
Peeling S1,8,9,9,,7,8,8,8,8,8,,8,9,9,9,9,8,,8,7,8,,,,,,,,148
Peeling thời vụ S1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Peeling S2,8,8,7,,8,7,8,5,7,7,,7,6,7,8,7,6,,6,7,9,,,,,,,,128
Peeling thời vụ S2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Peeling S3,9,9,8,,8,8,7,8,8,8,,8,8,8,8,8,8,,9,9,,,,,,,,,139
Peeling thời vụ S3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
OT,,,,,,3,2,6,3,9,,3,6,2,2,3,5,,3,4,,,,,,,,,51
Machine Grading - shift 1 ,19,20,20,,23,21,20,22,22,21,,19,20,21,20,21,20,,23,22,23,,,,,,,,377
Machine Grading  - thời vụ 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Machine Grading  - shift 2,21,21,21,,19,19,19,18,,,,20,19,20,,,,,19,20,18,,,,,,,,254
Machine Grading  thời vụ - shift 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Machine Grading  - shift 3,,,,,,,,,18,18,,,,,19,19,19,,,,,,,,,,,,93
Machine Grading  thời vụ- shift 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
OT,,,,,,,,,21,39,,,,,39,39,38,,,,,,,,,,,,176
Manual Grading -Shift 1 (Ms Huệ),3,3,2,,42,43,45,45,40,41,,3,3,3,3,3,3,,3,3,3,,,,,,,,291
Manual Grading Thời vụ -Shift 1 (Ms Huệ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Manual Grading -Shift 2 (Ms Huệ),43,41,43,,,,,,,,,,,,,,,,38,40,38,,,,,,,,243
Manual Grading Thời vụ -Shift 2 (Ms Huệ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Manual Grading -Shift 3 (Ms Huệ),,,,,,,,,,,,39,41,40,39,38,36,,,,,,,,,,,,233
Manual Grading Thời vụ -Shift 3 (Ms Huệ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
OT,,,,,14,18,19,18,19,20,,,1,1,1,1,1,,21,21,20,,,,,,,,175
Manual peeling S1 - Liên,62,66,63,,,,,,,,,,,,,,,,62,62,65,,,,,,,,380
Manual peeling S1 thời vụ - Liên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Manual peeling S1 - Dung,,,,,,,,,,,,61,60,67,64,63,62,,,,,,,,,,,,377
Manual peeling S1 thời vụ - Dung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Manual peeling S2 - Liên,,,,,,,,,,,,55,55,56,56,56,58,,,,,,,,,,,,336
Manual peeling S2 thời vụ - Liên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Manual peeling S2 - Dung,,,,,63,64,61,65,67,64,,,,,,,,,,,,,,,,,,,384
Manual peeling S2 thời vụ - Dung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Manual peeling S3 - Liên,,,,,54,54,54,54,54,54,,,,,,,,,,,,,,,,,,,324
Manual peeling S3 thời vụ - Liên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Manual peeling S3 - Dung,68,67,68,,,,,,,,,,,,,,,,66,67,,,,,,,,,336
Manual peeling S3 thời vụ - Dung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
OT,,,,,29,31,31,32,25,14,,50,50,50,51,49,50,,27,27,28,,,,,,,,544
Packing S1,13,13,13,,14,14,14,14,14,14,,13,13,13,13,13,13,,12,12,12,,,,,,,,237
Packing thời vụ S1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Packing S2,14,14,14,,13,13,13,13,,,,13,13,12,,,,,13,13,13,,,,,,,,171
Packing thời vụ S2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Packing S3,,,,,,,,,13,13,,,,,13,15,15,,,,,,,,,,,,69
Packing OT,,,,,,24,,,24,24,,,1,,12,12,12,,,,,,,,,,,,109
Boiler worker S1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,,,,,,,,18
Boiler worker S2,,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,,,,,,,,17
Boiler worker S3,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,,,,,,,,18
Boiler OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Maintenance S1,12,12,11,,11,12,12,12,12,11,,10,10,11,11,10,10,,10,10,11,,,,,,,,198
Maintenance S2,1,1,2,,2,2,2,2,2,2,,2,2,2,2,2,2,,2,2,2,,,,,,,,34
Maintenance S3,2,2,2,,2,2,2,2,2,2,,2,2,2,2,2,2,,2,2,2,,,,,,,,36
Maintenance OT,2,1,,,,,,,,,,,,,,,2,,2,1,,,,,,,,,8
Cleaning worker,8,7,8,,7,7,8,8,8,7,,6,8,7,8,8,8,,7,7,8,,,,,,,,135
Cleaning worker S2,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,,,1,1,1,,,,,,,,16
Cleaning worker S3,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,2
OT,,,,,,,,,,2,,,,,,2,2,,,,,,,,,,,,6
QC,12,12,12,,11,11,11,12,12,12,,12,12,12,12,12,12,,12,12,12,,,,,,,,213
QC S2,6,7,7,,6,6,6,6,2,2,,6,6,6,2,2,2,,6,6,6,,,,,,,,90
QC S3,4,4,4,,4,4,4,4,8,8,,4,4,4,8,8,8,,4,4,4,,,,,,,,92
QC OT,4,2,4,,4,4,4,4,12,12,,4,4,4,12,12,12,,4,4,4,,,,,,,,110
Office 1,2,19,13,,20,20,20,19,20,5,,18,18,20,19,20,7,,19,19,19,,,,,,,,297
Office 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Office 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Total,423,439,427,0,470,501,489,486,535,524,0,485,493,494,555,543,524,0,487,493,396,0,0,0,0,0,0,0,8764
